Date,Open,High,Low,Close,Adj Close,Volume
01-11-1994,8.3125,8.3125,8.1875,8.25,6.565471,2176400
02-11-1994,8.25,8.25,8.1875,8.1875,6.515731,2348200
03-11-1994,8.1875,8.25,8.125,8.1875,6.515731,2060800
04-11-1994,8.1875,8.25,8.125,8.125,6.465993,2663800
07-11-1994,8.0625,8.0625,8,8.0625,6.416255,1049400
08-11-1994,8.0625,8.0625,7.875,7.875,6.267039,5761000
09-11-1994,7.9375,8.0625,7.9375,8,6.366516,2480000
10-11-1994,8,8.0625,8,8.0625,6.416255,1956000
11-11-1994,8.0625,8.0625,8,8,6.366516,1300200
14-11-1994,7.9375,7.9375,7.875,7.9375,6.316776,1419200
15-11-1994,7.9375,7.9375,7.875,7.875,6.267039,3118800
16-11-1994,7.875,7.9375,7.875,7.875,6.267039,813400
17-11-1994,7.875,7.875,7.75,7.8125,6.217301,1477600
18-11-1994,7.8125,7.8125,7.6875,7.75,6.167563,2452600
21-11-1994,7.75,7.75,7.5625,7.5625,6.018347,3276000
22-11-1994,7.5625,7.625,7.4375,7.4375,5.91887,2725000
23-11-1994,7.4375,7.5,7.3125,7.5,5.968608,2634200
25-11-1994,7.5,7.5,7.5,7.5,5.968608,640800
28-11-1994,7.5,7.5625,7.4375,7.5625,6.018347,1583400
29-11-1994,7.5625,7.5625,7.4375,7.5,5.968608,1056400
30-11-1994,7.5,7.5,7.4375,7.5,5.968608,1086800
01-12-1994,7.5,7.5,7.4375,7.4375,5.91887,979000
02-12-1994,7.4375,7.5,7.375,7.5,5.968608,1257200
05-12-1994,7.5,7.5625,7.4375,7.4375,5.91887,1071200
06-12-1994,7.4375,7.4375,7.375,7.4375,5.91887,1819200
07-12-1994,7.4375,7.4375,7.3125,7.375,5.869133,1223400
08-12-1994,7.375,7.4375,7.375,7.375,5.869133,1178400
09-12-1994,7.375,7.375,7.3125,7.375,5.869133,1682000
12-12-1994,7.375,7.4375,7.3125,7.375,5.869133,1011400
13-12-1994,7.375,7.5,7.375,7.4375,5.91887,1555200
14-12-1994,7.4375,7.5,7.4375,7.5,5.968608,1351600
15-12-1994,7.5,7.5625,7.375,7.5,5.968608,2600400
16-12-1994,7.5,7.5625,7.4375,7.5,5.968608,3428800
19-12-1994,7.5,7.625,7.375,7.5625,6.018347,3590000
20-12-1994,7.5625,7.625,7.5625,7.625,6.068085,1464200
21-12-1994,7.625,7.6875,7.625,7.625,6.068085,3717600
22-12-1994,7.625,7.75,7.625,7.75,6.167563,1467200
23-12-1994,7.75,7.75,7.625,7.625,6.068085,1012000
27-12-1994,7.625,7.75,7.625,7.75,6.167563,3242800
28-12-1994,7.75,7.75,7.625,7.75,6.167563,1814400
29-12-1994,7.75,7.8125,7.75,7.8125,6.217301,1436200
30-12-1994,7.8125,7.8125,7.6875,7.8125,6.217301,1365600
03-01-1995,7.8125,7.8125,7.6875,7.75,6.167563,1064200
04-01-1995,7.75,7.8125,7.625,7.6875,6.117824,1751600
05-01-1995,7.6875,7.75,7.625,7.75,6.167563,1600200
06-01-1995,7.75,7.8125,7.6875,7.6875,6.117824,2230600
09-01-1995,7.6875,7.75,7.625,7.6875,6.117824,2108800
10-01-1995,7.6875,7.75,7.6875,7.6875,6.117824,1580600
11-01-1995,7.6875,7.6875,7.5625,7.625,6.068085,3488600
12-01-1995,7.5625,7.5625,7.5,7.5,5.968608,1875600
13-01-1995,7.5625,7.5625,7.5625,7.5625,6.018347,2206600
16-01-1995,7.5625,7.625,7.5625,7.625,6.068085,3502000
17-01-1995,7.625,7.6875,7.625,7.625,6.068085,1322800
18-01-1995,7.625,7.625,7.5625,7.5625,6.018347,2150400
19-01-1995,7.5,7.5,7.4375,7.5,5.968608,3214600
20-01-1995,7.5,7.5625,7.4375,7.5,5.968608,2263800
23-01-1995,7.5,7.5625,7.4375,7.5625,6.018347,4176200
24-01-1995,7.5625,7.625,7.5,7.5625,6.018347,1362800
25-01-1995,7.5625,7.625,7.5625,7.625,6.068085,2840000
26-01-1995,7.125,7.125,6.875,7.0625,5.620439,14524000
27-01-1995,7.0625,7.125,6.9375,6.9375,5.520961,7288800
30-01-1995,6.9375,7,6.9375,7,5.570702,3881000
31-01-1995,7,7.0625,7,7.0625,5.620439,2975200
01-02-1995,7.0625,7.0625,6.875,6.9375,5.520961,2668000
02-02-1995,6.9375,7,6.875,6.9375,5.520961,1846800
03-02-1995,6.9375,7.0625,6.9375,7.0625,5.620439,3790800
06-02-1995,7.0625,7.125,7,7.0625,5.620439,2963200
07-02-1995,7.125,7.1875,7.125,7.1875,5.719914,2994800
08-02-1995,7.1875,7.3125,7.125,7.1875,5.719914,3764800
09-02-1995,7.1875,7.25,7.0625,7.25,5.769656,1978400
10-02-1995,7.25,7.25,7.1875,7.1875,5.719914,1724200
13-02-1995,7.1875,7.1875,7.125,7.125,5.670178,1560000
14-02-1995,7.125,7.1875,7.0625,7.125,5.670178,1967200
15-02-1995,7.125,7.1875,7.125,7.1875,5.719914,1822800
16-02-1995,7.1875,7.1875,7.125,7.1875,5.719914,1477000
17-02-1995,7.1875,7.3125,7.1875,7.25,5.769656,3836600
21-02-1995,7.25,7.3125,7.1875,7.1875,5.719914,2169400
22-02-1995,7.1875,7.1875,7.125,7.1875,5.719914,1879800
23-02-1995,7.1875,7.25,7.125,7.1875,5.719914,1599600
24-02-1995,7.1875,7.25,7.1875,7.25,5.769656,1129800
27-02-1995,7.25,7.25,7.1875,7.25,5.769656,910000
28-02-1995,7.25,7.3125,7.1875,7.3125,5.819394,2920200
01-03-1995,7.3125,7.4375,7.3125,7.4375,5.91887,8590400
02-03-1995,7.4375,7.5,7.375,7.5,5.968608,2482800
03-03-1995,7.5,7.5625,7.4375,7.5,5.968608,3257600
06-03-1995,7.5,7.5,7.4375,7.4375,5.91887,1734000
07-03-1995,7.4375,7.4375,7.25,7.4375,5.91887,1985600
08-03-1995,7.4375,7.5,7.4375,7.4375,5.91887,882400
09-03-1995,7.4375,7.4375,7.375,7.4375,5.91887,817000
10-03-1995,7.4375,7.5,7.375,7.5,5.968608,3922600
13-03-1995,7.5,7.5625,7.4375,7.5625,6.018347,2940000
14-03-1995,7.5625,7.625,7.5625,7.625,6.068085,4782600
15-03-1995,7.625,7.625,7.5,7.5625,6.018347,1994000
16-03-1995,7.5625,7.5625,7.5,7.5625,6.018347,1515600
17-03-1995,7.5625,7.5625,7.5,7.5,5.968608,3842200
20-03-1995,7.5,7.5625,7.5,7.5625,6.018347,979000
21-03-1995,7.5625,7.5625,7.5,7.5,5.968608,1926400
22-03-1995,7.5,7.5,7.4375,7.5,5.968608,1438200
23-03-1995,7.5,7.5625,7.4375,7.5625,6.018347,3240000
24-03-1995,7.5625,7.5625,7.5,7.5,5.968608,2071400
27-03-1995,7.5,7.5625,7.4375,7.4375,5.91887,1257800
28-03-1995,7.4375,7.5,7.4375,7.4375,5.91887,1196600
29-03-1995,7.4375,7.5,7.375,7.4375,5.91887,2455400
30-03-1995,7.4375,7.5,7.4375,7.5,5.968608,1952400
31-03-1995,7.4375,7.4375,7.375,7.4375,5.91887,1996000
03-04-1995,7.4375,7.5,7.4375,7.4375,5.91887,1124800
04-04-1995,7.5,7.625,7.5,7.625,6.068085,2177800
05-04-1995,7.625,7.625,7.5,7.5,5.968608,2121400
06-04-1995,7.5,7.5625,7.5,7.5,5.968608,1588200
07-04-1995,7.5,7.625,7.5,7.625,6.068085,1843200
10-04-1995,7.625,7.625,7.5625,7.5625,6.018347,793000
11-04-1995,7.5625,7.625,7.4375,7.5,5.968608,2031400
12-04-1995,7.5,7.5625,7.4375,7.5,5.968608,1231800
13-04-1995,7.5,7.5625,7.4375,7.4375,5.91887,1084600
17-04-1995,7.4375,7.5625,7.375,7.4375,5.91887,1362200
18-04-1995,7.4375,7.5625,7.375,7.375,5.869133,1723400
19-04-1995,7.375,7.4375,7.125,7.1875,5.719914,3671000
20-04-1995,7.1875,7.25,7.1875,7.1875,5.719914,3837400
21-04-1995,7.1875,7.375,7.1875,7.3125,5.819394,3236400
24-04-1995,7.3125,7.4375,7.3125,7.4375,5.91887,1803800
25-04-1995,7.375,7.375,7.3125,7.375,5.869133,1702400
26-04-1995,7.375,7.4375,7.3125,7.4375,5.91887,3831000
27-04-1995,7.375,7.375,7.3125,7.375,5.869133,2932200
28-04-1995,7.375,7.375,7.3125,7.375,5.869133,2072800
01-05-1995,7.375,7.4375,7.3125,7.375,5.869133,2258200
02-05-1995,7.375,7.4375,7.3125,7.375,5.869133,2088400
03-05-1995,7.375,7.4375,7.375,7.4375,5.91887,1419200
04-05-1995,7.4375,7.5,7.4375,7.5,5.968608,2292000
05-05-1995,7.5,7.5625,7.4375,7.5,5.968608,1889800
08-05-1995,7.5,7.625,7.5,7.625,6.068085,2458200
09-05-1995,7.625,7.6875,7.625,7.625,6.068085,1856000
10-05-1995,7.625,7.6875,7.625,7.6875,6.117824,1803000
11-05-1995,7.6875,7.875,7.6875,7.8125,6.217301,2626400
12-05-1995,7.8125,7.8125,7.75,7.8125,6.217301,1720600
15-05-1995,7.6875,7.6875,7.625,7.625,6.068085,1808000
16-05-1995,7.625,7.6875,7.625,7.6875,6.117824,1727000
17-05-1995,7.6875,7.6875,7.625,7.6875,6.117824,4402200
18-05-1995,7.6875,7.6875,7.5625,7.5625,6.018347,2615200
19-05-1995,7.5625,7.5625,7.5,7.5625,6.018347,2234200
22-05-1995,7.5625,7.625,7.5625,7.5625,6.018347,2023600
23-05-1995,7.625,7.6875,7.625,7.6875,6.117824,1925600
24-05-1995,7.6875,7.6875,7.625,7.625,6.068085,2088400
25-05-1995,7.5625,7.5625,7.5,7.5625,6.018347,1848200
26-05-1995,7.5625,7.5625,7.4375,7.5,5.968608,2527800
30-05-1995,7.5,7.5625,7.4375,7.5,5.968608,3125800
31-05-1995,7.5,7.5,7.4375,7.5,5.968608,4049400
01-06-1995,7.5,7.5625,7.5,7.5,5.968608,2725000
02-06-1995,7.5,7.5625,7.4375,7.4375,5.91887,2446800
05-06-1995,7.4375,7.5,7.4375,7.5,5.968608,2436400
06-06-1995,7.5,7.5,7.4375,7.5,5.968608,2003200
07-06-1995,7.5,7.5,7.4375,7.5,5.968608,1657200
08-06-1995,7.5,7.5,7.4375,7.5,5.968608,1802400
09-06-1995,7.5,7.5,7.4375,7.4375,5.91887,1431800
12-06-1995,7.4375,7.5625,7.4375,7.5625,6.018347,1671400
13-06-1995,7.5625,7.625,7.5,7.5625,6.018347,2206000
14-06-1995,7.5625,7.5625,7.4375,7.5625,6.018347,2990000
15-06-1995,7.5625,7.6875,7.5625,7.625,6.068085,1817200
16-06-1995,7.625,7.625,7.5625,7.5625,6.018347,5215800
19-06-1995,7.5625,7.625,7.5625,7.625,6.068085,2878000
20-06-1995,7.625,7.6875,7.625,7.625,6.068085,5134000
21-06-1995,7.625,7.625,7.5625,7.5625,6.018347,3855000
22-06-1995,7.625,7.75,7.625,7.6875,6.117824,3325200
23-06-1995,7.6875,7.6875,7.625,7.6875,6.117824,1763000
26-06-1995,7.6875,7.75,7.4375,7.625,6.068085,1836200
27-06-1995,7.625,7.625,7.5625,7.5625,6.018347,3102000
28-06-1995,7.5625,7.5625,7.4375,7.4375,5.91887,9012400
29-06-1995,7.4375,7.5,7.375,7.4375,5.91887,2116600
30-06-1995,7.4375,7.5,7.4375,7.4375,5.91887,1262800
03-07-1995,7.4375,7.4375,7.375,7.4375,5.91887,773400
05-07-1995,7.4375,7.4375,7.375,7.375,5.869133,2362400
06-07-1995,7.375,7.4375,7.375,7.4375,5.91887,2627200
07-07-1995,7.4375,7.5,7.4375,7.5,5.968608,4824800
10-07-1995,7.5,7.5,7.4375,7.5,5.968608,1996800
11-07-1995,7.5,7.5,7.4375,7.4375,5.91887,2381400
12-07-1995,7.4375,7.5625,7.4375,7.5625,6.018347,2475800
13-07-1995,7.5625,7.5625,7.4375,7.4375,5.91887,3033000
14-07-1995,7.4375,7.5,7.4375,7.5,5.968608,2504600
17-07-1995,7.5,7.5,7.4375,7.4375,5.91887,2429200
18-07-1995,7.4375,7.5,7.375,7.375,5.869133,3196400
19-07-1995,7.375,7.4375,7.1875,7.3125,5.819394,4355800
20-07-1995,7.3125,7.5625,7.25,7.5,5.968608,3983200
21-07-1995,7.5,7.625,7.4375,7.5625,6.018347,5070000
24-07-1995,7.5625,7.75,7.5625,7.75,6.167563,4729000
25-07-1995,7.75,7.875,7.75,7.875,6.267039,3836600
26-07-1995,7.875,7.875,7.8125,7.875,6.267039,2741200
27-07-1995,7.875,8,7.8125,8,6.366516,1847400
28-07-1995,8,8,7.8125,7.9375,6.316776,1829800
31-07-1995,7.9375,8,7.875,7.9375,6.316776,1581200
01-08-1995,7.9375,8,7.875,7.9375,6.316776,1118400
02-08-1995,7.9375,8,7.875,7.875,6.267039,2110200
03-08-1995,7.875,8.0625,7.875,8.0625,6.416255,1941800
04-08-1995,8.0625,8.0625,7.9375,8,6.366516,2227800
07-08-1995,8.125,8.3125,8.125,8.125,6.465993,3812000
08-08-1995,8.125,8.1875,8.125,8.1875,6.515731,2995600
09-08-1995,8.1875,8.1875,8.125,8.1875,6.515731,2625000
10-08-1995,8.1875,8.25,8.125,8.1875,6.515731,4285200
11-08-1995,8.1875,8.25,8.125,8.1875,6.515731,1350800
14-08-1995,8.1875,8.25,8.125,8.25,6.565471,1155000
15-08-1995,8.25,8.25,8.125,8.1875,6.515731,1943200
16-08-1995,8.1875,8.25,8.125,8.25,6.565471,3196400
17-08-1995,8.1875,8.1875,8.125,8.125,6.465993,1905200
18-08-1995,8.125,8.1875,8.125,8.125,6.465993,1682000
21-08-1995,8.1875,8.25,8.1875,8.25,6.565471,1839000
22-08-1995,8.25,8.25,8.1875,8.1875,6.515731,2399600
23-08-1995,8.1875,8.25,8.125,8.125,6.465993,1450800
24-08-1995,8.125,8.25,8.125,8.1875,6.515731,2010200
25-08-1995,8.1875,8.25,8.1875,8.1875,6.515731,1516400
28-08-1995,8.1875,8.3125,8.1875,8.1875,6.515731,1791200
29-08-1995,8.1875,8.25,8.1875,8.1875,6.515731,1484000
30-08-1995,8.1875,8.1875,8.125,8.1875,6.515731,1507200
31-08-1995,8.1875,8.1875,8.125,8.1875,6.515731,1637600
01-09-1995,8.1875,8.25,8.125,8.1875,6.515731,1904600
05-09-1995,8.1875,8.25,8.1875,8.1875,6.515731,1594600
06-09-1995,8.1875,8.3125,8.1875,8.25,6.565471,2549800
07-09-1995,8.25,8.375,8.25,8.375,6.664948,2535000
08-09-1995,8.375,8.375,8.3125,8.3125,6.615207,2149000
11-09-1995,8.3125,8.375,8.1875,8.25,6.565471,1755800
12-09-1995,8.25,8.3125,8.1875,8.25,6.565471,2867400
13-09-1995,8.25,8.3125,8.25,8.3125,6.615207,2536400
14-09-1995,8.3125,8.3125,8.25,8.3125,6.615207,1873600
15-09-1995,8.3125,8.3125,8.25,8.3125,6.615207,2579200
18-09-1995,8.3125,8.3125,8.25,8.3125,6.615207,2303200
19-09-1995,8.3125,8.3125,8.25,8.3125,6.615207,1596600
20-09-1995,8.3125,8.3125,8.1875,8.25,6.565471,2734200
21-09-1995,8.25,8.3125,8.25,8.25,6.565471,1655200
22-09-1995,8.25,8.3125,8.25,8.25,6.565471,1029600
25-09-1995,8.25,8.3125,8.25,8.3125,6.615207,1358000
26-09-1995,8.3125,8.3125,8.3125,8.3125,6.615207,1524800
27-09-1995,8.3125,8.3125,8.1875,8.1875,6.515731,2976600
28-09-1995,8.1875,8.25,8.125,8.125,6.465993,1582600
29-09-1995,8.125,8.1875,8.125,8.1875,6.515731,2118000
02-10-1995,8.25,8.3125,8.25,8.3125,6.615207,2205200
03-10-1995,8.3125,8.3125,8.25,8.3125,6.615207,1401600
04-10-1995,8.3125,8.3125,8.3125,8.3125,6.615207,1941200
05-10-1995,8.3125,8.375,8.1875,8.1875,6.515731,3645800
06-10-1995,8.1875,8.3125,8.1875,8.25,6.565471,1117800
09-10-1995,8.25,8.3125,8.25,8.3125,6.615207,995800
10-10-1995,8.3125,8.3125,8.1875,8.3125,6.615207,2345400
11-10-1995,8.3125,8.375,8.3125,8.3125,6.615207,1706600
12-10-1995,8.3125,8.375,8.3125,8.375,6.664948,3333000
13-10-1995,8.375,8.4375,8.25,8.3125,6.615207,2306000
16-10-1995,8.3125,8.4375,8.3125,8.4375,6.714684,2242600
17-10-1995,8.4375,8.4375,8.3125,8.375,6.664948,3329400
18-10-1995,8.375,8.375,8.0625,8.25,6.565471,5051000
19-10-1995,8.25,8.375,8.1875,8.3125,6.615207,2352600
20-10-1995,8.3125,8.4375,8.3125,8.375,6.664948,2175800
23-10-1995,8.375,8.4375,8.375,8.375,6.664948,2126400
24-10-1995,8.375,8.5,8.375,8.375,6.664948,4966400
25-10-1995,8.4375,8.5,8.4375,8.5,6.764422,3711200
26-10-1995,8.5,8.5,8.25,8.5,6.764422,2978600
27-10-1995,8.5,8.5,8.375,8.4375,6.714684,1809400
30-10-1995,8.4375,8.5625,8.4375,8.5,6.764422,1524800
31-10-1995,8.5,8.5625,8.4375,8.4375,6.714684,1510800
01-11-1995,8.5,8.5625,8.5,8.5,6.764422,1640400
02-11-1995,8.5,8.625,8.5,8.5625,6.814161,1522800
03-11-1995,8.5625,8.75,8.5625,8.75,6.963377,2196200
06-11-1995,8.75,8.8125,8.6875,8.75,6.963377,2532200
07-11-1995,8.75,8.875,8.75,8.875,7.062856,3638600
08-11-1995,8.875,8.9375,8.875,8.9375,7.112591,1899600
09-11-1995,8.9375,9,8.9375,8.9375,7.112591,3095600
10-11-1995,8.9375,8.9375,8.875,8.9375,7.112591,1234000
13-11-1995,8.875,8.875,8.8125,8.8125,7.013113,1617200
14-11-1995,8.8125,8.8125,8.625,8.6875,6.913641,1763600
15-11-1995,8.6875,8.875,8.6875,8.875,7.062856,1253600
16-11-1995,8.875,8.875,8.8125,8.8125,7.013113,1785400
17-11-1995,8.8125,8.8125,8.75,8.8125,7.013113,1634000
20-11-1995,8.8125,8.8125,8.6875,8.75,6.963377,1427600
21-11-1995,8.6875,8.6875,8.625,8.6875,6.913641,2954000
22-11-1995,8.6875,8.6875,8.625,8.625,6.863901,1556600
24-11-1995,8.625,8.6875,8.625,8.625,6.863901,621800
27-11-1995,8.625,8.625,8.5625,8.5625,6.814161,1710200
28-11-1995,8.5625,8.8125,8.5625,8.8125,7.013113,1424800
29-11-1995,8.8125,8.9375,8.8125,8.875,7.062856,2313800
30-11-1995,8.875,8.875,8.8125,8.8125,7.013113,1419200
01-12-1995,8.8125,8.875,8.75,8.8125,7.013113,2598400
04-12-1995,8.8125,8.8125,8.75,8.8125,7.013113,2140400
05-12-1995,8.8125,8.8125,8.75,8.8125,7.013113,2062200
06-12-1995,8.8125,8.8125,8.75,8.75,6.963377,1612800
07-12-1995,8.75,8.8125,8.6875,8.75,6.963377,1384600
08-12-1995,8.75,8.8125,8.6875,8.8125,7.013113,2562400
11-12-1995,8.8125,8.9375,8.8125,8.9375,7.112591,1565800
12-12-1995,8.9375,9.0625,8.9375,9.0625,7.212069,1586200
13-12-1995,9.0625,9.25,9.0625,9.25,7.361285,3019600
14-12-1995,9.25,9.25,9.0625,9.1875,7.311547,2299600
15-12-1995,9.1875,9.25,9.125,9.1875,7.311547,4094400
18-12-1995,9.1875,9.1875,9,9,7.162328,1808000
19-12-1995,9,9.125,9,9,7.162328,1864400
20-12-1995,9,9.0625,8.875,8.875,7.062856,1712200
21-12-1995,8.9375,9.125,8.9375,9.0625,7.212069,2161600
22-12-1995,9,9,8.9375,8.9375,7.112591,1089600
26-12-1995,9,9,9,9,7.162328,380200
27-12-1995,9,9.0625,8.9375,9.0625,7.212069,736000
28-12-1995,9.0625,9.125,9,9.125,7.261806,1863600
29-12-1995,9.125,9.25,9.125,9.1875,7.311547,1815000
02-01-1996,9.1875,9.1875,9.125,9.125,7.261806,2184800
03-01-1996,9.125,9.25,9.0625,9.125,7.261806,3449200
04-01-1996,9.125,9.125,8.9375,9,7.162328,2594000
05-01-1996,9,9,8.875,8.9375,7.112591,1554400
08-01-1996,8.9375,8.9375,8.875,8.9375,7.112591,540800
09-01-1996,8.9375,9,8.9375,9,7.162328,2663200
10-01-1996,9.1875,9.6875,9.1875,9.1875,7.311547,43545600
11-01-1996,9.1875,9.25,9.125,9.125,7.261806,7378200
12-01-1996,9.125,9.25,9,9.1875,7.311547,11793200
15-01-1996,9.1875,9.3125,9.1875,9.3125,7.411023,5640600
16-01-1996,9.3125,9.3125,9.125,9.125,7.261806,4812200
17-01-1996,9.125,9.25,9.125,9.1875,7.311547,5651000
18-01-1996,9.1875,9.25,9.125,9.1875,7.311547,4691000
19-01-1996,9.1875,9.1875,9.0625,9.125,7.261806,4283200
22-01-1996,9.125,9.125,9,9.0625,7.212069,4168400
23-01-1996,9.0625,9.1875,9.0625,9.0625,7.212069,1879800
24-01-1996,9.0625,9.125,9,9.0625,7.212069,5511600
25-01-1996,9.0625,9.1875,9,9.0625,7.212069,6495600
26-01-1996,9.0625,9.1875,9.0625,9.1875,7.311547,4848800
29-01-1996,9.1875,9.25,9.125,9.25,7.361285,3576600
30-01-1996,9.25,9.25,9.1875,9.1875,7.311547,2245400
31-01-1996,9.1875,9.25,9.0625,9.1875,7.311547,5494000
01-02-1996,9.1875,9.25,9.1875,9.25,7.361285,2146200
02-02-1996,9.25,9.25,9.125,9.1875,7.311547,2436400
05-02-1996,9.1875,9.25,9.125,9.25,7.361285,2172200
06-02-1996,9.25,9.4375,9.25,9.4375,7.510501,6645600
07-02-1996,9.4375,9.4375,9.375,9.4375,7.510501,3522400
08-02-1996,9.375,9.375,9.3125,9.375,7.460762,4190800
09-02-1996,9.375,9.375,9.25,9.3125,7.411023,3212600
12-02-1996,9.25,9.25,9.1875,9.1875,7.311547,1541800
13-02-1996,9.1875,9.25,9.125,9.1875,7.311547,2048200
14-02-1996,9.1875,9.25,9.125,9.1875,7.311547,3439400
15-02-1996,9.1875,9.1875,9.0625,9.125,7.261806,3078000
16-02-1996,9.125,9.125,9.0625,9.0625,7.212069,3733800
20-02-1996,9,9,8.8125,8.875,7.062856,3139200
21-02-1996,8.875,9,8.875,9,7.162328,2842800
22-02-1996,9,9,8.875,9,7.162328,2920200
23-02-1996,9,9,8.8125,8.8125,7.013113,2982200
26-02-1996,8.8125,8.8125,8.75,8.75,6.963377,3779600
27-02-1996,8.75,8.8125,8.625,8.6875,6.913641,6559000
28-02-1996,8.6875,9,8.6875,8.875,7.062856,7090800
29-02-1996,8.875,9.0625,8.875,8.9375,7.112591,3707800
01-03-1996,8.9375,9,8.75,8.875,7.062856,2255200
04-03-1996,8.8125,8.8125,8.8125,8.8125,7.013113,0
05-03-1996,8.8125,8.875,8.8125,8.8125,7.013113,2536400
06-03-1996,8.8125,8.9375,8.8125,8.875,7.062856,2215200
07-03-1996,8.875,8.9375,8.875,8.9375,7.112591,1879200
08-03-1996,8.875,8.875,8.75,8.75,6.963377,4479600
11-03-1996,8.75,8.8125,8.625,8.8125,7.013113,3314000
12-03-1996,8.75,8.75,8.625,8.75,6.963377,3212600
13-03-1996,8.75,8.75,8.625,8.625,6.863901,2887200
14-03-1996,8.625,8.6875,8.5625,8.5625,6.814161,5352400
15-03-1996,8.5625,8.5625,8.375,8.4375,6.714684,8697400
18-03-1996,8.5625,8.6875,8.5625,8.6875,6.913641,9893400
19-03-1996,8.6875,8.75,8.625,8.6875,6.913641,5048200
20-03-1996,8.6875,8.75,8.625,8.6875,6.913641,3524600
21-03-1996,8.6875,8.6875,8.5625,8.625,6.863901,4626200
22-03-1996,8.625,8.6875,8.625,8.625,6.863901,1937000
25-03-1996,8.625,8.6875,8.5,8.5625,6.814161,5064400
26-03-1996,8.5625,8.75,8.5,8.75,6.963377,5005800
27-03-1996,8.75,8.75,8.5625,8.5625,6.814161,3264000
28-03-1996,8.5625,8.5625,8.5,8.5625,6.814161,3174400
29-03-1996,8.5625,8.5625,8.5,8.5625,6.814161,4100800
01-04-1996,8.5625,8.625,8.4375,8.5,6.764422,5329200
02-04-1996,8.5,8.6875,8.5,8.5625,6.814161,3481600
03-04-1996,8.5625,8.5625,8.5,8.5625,6.814161,2133400
04-04-1996,8.5625,8.5625,8.5,8.5,6.764422,2694200
08-04-1996,8.375,8.375,8.375,8.375,6.664948,3114000
09-04-1996,8.375,8.4375,8.375,8.375,6.664948,2671600
10-04-1996,8.375,8.4375,8.375,8.375,6.664948,3367400
11-04-1996,8.375,8.375,8.3125,8.3125,6.615207,7551400
12-04-1996,8.3125,8.375,8.3125,8.375,6.664948,3249200
15-04-1996,8.375,8.5,8.375,8.4375,6.714684,2358200
16-04-1996,8.4375,8.5625,8.4375,8.5,6.764422,2375800
17-04-1996,8.5,8.5,8.4375,8.4375,6.714684,5780600
18-04-1996,8.4375,8.5,8.4375,8.4375,6.714684,1505200
19-04-1996,8.4375,8.5625,8.4375,8.5,6.764422,2255200
22-04-1996,8.5625,8.6875,8.5625,8.625,6.863901,1322800
23-04-1996,8.625,8.6875,8.5625,8.5625,6.814161,2877200
24-04-1996,8.5625,8.5625,8.4375,8.5,6.764422,5686200
25-04-1996,8.5,8.5,8.375,8.5,6.764422,2222200
